KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EchoTime_x	EffectiveEchoSpacing	EffectiveEchoSpacing_x	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	RepetitionTime_x	TotalReadoutTime	TotalReadoutTime_x	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim1_x	VoxelSizeDim2	VoxelSizeDim2_x	VoxelSizeDim3	VoxelSizeDim3_x	FilePath	DROP	WHY
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-109735/ses-1/anat/sub-109735_ses-1_run-01_T1w.nii.gz	1	IS4
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-109735/ses-1/anat/sub-109735_ses-1_run-02_T1w.nii.gz	0	
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-112061/ses-1/anat/sub-112061_ses-1_run-01_T1w.nii.gz	1	ringing
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-112061/ses-1/anat/sub-112061_ses-1_run-02_T1w.nii.gz	0	
datatype-anat_run-01_suffix-T1w__1	datatype-anat_run-01_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	0.999702454	/sub-117226/ses-1/anat/sub-117226_ses-1_run-01_T1w.nii.gz	1	metal bra
datatype-anat_run-02_suffix-T1w__1	datatype-anat_run-02_suffix-T1w	1		0		0		0	0	0	8	192	256	160	0.00345	0.00345			8	9	FALSE	RAS+		anat		0	1	FALSE	2	1		1.81	1.81			FALSE	0.9375	0.9375	0.9375	0.9375	1	1	/sub-117226/ses-1/anat/sub-117226_ses-1_run-02_T1w.nii.gz	0	
datatype-anat_run-01_suffix-angio__1	datatype-anat_run-01_suffix-angio	1		0		0		0	0	0	4	288	384	40	0.00366	0.00366			4	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	1	1	/sub-117226/ses-1/anat/sub-117226_ses-1_run-01_angio.nii.gz	1	
datatype-anat_run-02_suffix-angio__1	datatype-anat_run-02_suffix-angio	1		0		0		0	0	0	4	288	384	40	0.00366	0.00366			4	18	FALSE	RAS+		anat		0	1	FALSE		0.75		0.022	0.022			FALSE	0.520833015	0.520833015	0.520833015	0.520833015	1	1	/sub-117226/ses-1/anat/sub-117226_ses-1_run-02_angio.nii.gz	0	
datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-01_suffix-magnitude1	1		0		0		0	0	0	2	80	80	60	0.00412	0.00412			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-01_magnitude1.nii.gz	1	check intended fors
datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1__1	datatype-fmap_fmap-magnitude1_run-02_suffix-magnitude1	1		0		0		0	0	0	2	80	80	60	0.00412	0.00412			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-02_magnitude1.nii.gz	0	
datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2__1	datatype-fmap_fmap-magnitude2_run-01_suffix-magnitude2	1		0		0		0	0	0	2	80	80	60	0.00658	0.00658			2	45	FALSE	LAS+		fmap		60	1	FALSE		1	j-	0.58	0.58			TRUE	3	3	3	3	3	3	/sub-117226/ses-1/fmap/sub-117226_ses-1_run-01_magnitude2.nii.gz	1	check intended fors
