action	modality	subject	session	source_path	dest_path
DELETE	T1w	sub-114935	ses-1	/cbica/projects/grmpy/data/bids/sub-114935/ses-1/anat/sub-114935_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-114935	ses-1	/cbica/projects/grmpy/data/bids/sub-114935/ses-1/anat/sub-114935_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-114935	ses-1	/cbica/projects/grmpy/data/bids/sub-114935/ses-1/anat/sub-114935_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-114935	ses-1	/cbica/projects/grmpy/data/bids/sub-114935/ses-1/anat/sub-114935_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-121050	ses-1	/cbica/projects/grmpy/data/bids/sub-121050/ses-1/anat/sub-121050_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-121050	ses-1	/cbica/projects/grmpy/data/bids/sub-121050/ses-1/anat/sub-121050_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-121050	ses-1	/cbica/projects/grmpy/data/bids/sub-121050/ses-1/anat/sub-121050_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-121050	ses-1	/cbica/projects/grmpy/data/bids/sub-121050/ses-1/anat/sub-121050_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-83010	ses-1	/cbica/projects/grmpy/data/bids/sub-83010/ses-1/anat/sub-83010_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-83010	ses-1	/cbica/projects/grmpy/data/bids/sub-83010/ses-1/anat/sub-83010_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-83010	ses-1	/cbica/projects/grmpy/data/bids/sub-83010/ses-1/anat/sub-83010_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-83010	ses-1	/cbica/projects/grmpy/data/bids/sub-83010/ses-1/anat/sub-83010_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-120217	ses-1	/cbica/projects/grmpy/data/bids/sub-120217/ses-1/anat/sub-120217_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-120217	ses-1	/cbica/projects/grmpy/data/bids/sub-120217/ses-1/anat/sub-120217_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-120217	ses-1	/cbica/projects/grmpy/data/bids/sub-120217/ses-1/anat/sub-120217_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-120217	ses-1	/cbica/projects/grmpy/data/bids/sub-120217/ses-1/anat/sub-120217_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-104059	ses-1	/cbica/projects/grmpy/data/bids/sub-104059/ses-1/anat/sub-104059_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-104059	ses-1	/cbica/projects/grmpy/data/bids/sub-104059/ses-1/anat/sub-104059_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-104059	ses-1	/cbica/projects/grmpy/data/bids/sub-104059/ses-1/anat/sub-104059_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-104059	ses-1	/cbica/projects/grmpy/data/bids/sub-104059/ses-1/anat/sub-104059_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-98535	ses-1	/cbica/projects/grmpy/data/bids/sub-98535/ses-1/anat/sub-98535_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-98535	ses-1	/cbica/projects/grmpy/data/bids/sub-98535/ses-1/anat/sub-98535_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-98535	ses-1	/cbica/projects/grmpy/data/bids/sub-98535/ses-1/anat/sub-98535_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-98535	ses-1	/cbica/projects/grmpy/data/bids/sub-98535/ses-1/anat/sub-98535_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-108202	ses-1	/cbica/projects/grmpy/data/bids/sub-108202/ses-1/anat/sub-108202_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-108202	ses-1	/cbica/projects/grmpy/data/bids/sub-108202/ses-1/anat/sub-108202_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-108202	ses-1	/cbica/projects/grmpy/data/bids/sub-108202/ses-1/anat/sub-108202_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-108202	ses-1	/cbica/projects/grmpy/data/bids/sub-108202/ses-1/anat/sub-108202_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20699	ses-1	/cbica/projects/grmpy/data/bids/sub-20699/ses-1/anat/sub-20699_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-20699	ses-1	/cbica/projects/grmpy/data/bids/sub-20699/ses-1/anat/sub-20699_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-20699	ses-1	/cbica/projects/grmpy/data/bids/sub-20699/ses-1/anat/sub-20699_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-20699	ses-1	/cbica/projects/grmpy/data/bids/sub-20699/ses-1/anat/sub-20699_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-88589	ses-1	/cbica/projects/grmpy/data/bids/sub-88589/ses-1/anat/sub-88589_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-88589	ses-1	/cbica/projects/grmpy/data/bids/sub-88589/ses-1/anat/sub-88589_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-88589	ses-1	/cbica/projects/grmpy/data/bids/sub-88589/ses-1/anat/sub-88589_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-88589	ses-1	/cbica/projects/grmpy/data/bids/sub-88589/ses-1/anat/sub-88589_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-98422	ses-1	/cbica/projects/grmpy/data/bids/sub-98422/ses-1/anat/sub-98422_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-98422	ses-1	/cbica/projects/grmpy/data/bids/sub-98422/ses-1/anat/sub-98422_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-98422	ses-1	/cbica/projects/grmpy/data/bids/sub-98422/ses-1/anat/sub-98422_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-98422	ses-1	/cbica/projects/grmpy/data/bids/sub-98422/ses-1/anat/sub-98422_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-99949	ses-1	/cbica/projects/grmpy/data/bids/sub-99949/ses-1/anat/sub-99949_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-99949	ses-1	/cbica/projects/grmpy/data/bids/sub-99949/ses-1/anat/sub-99949_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T1w	sub-99949	ses-1	/cbica/projects/grmpy/data/bids/sub-99949/ses-1/anat/sub-99949_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-99949	ses-1	/cbica/projects/grmpy/data/bids/sub-99949/ses-1/anat/sub-99949_ses-1_rec-defaced_T2w.json	
DELETE	T2w	sub-20809	ses-1	/cbica/projects/grmpy/data/bids/sub-20809/ses-1/anat/sub-20809_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-20809	ses-1	/cbica/projects/grmpy/data/bids/sub-20809/ses-1/anat/sub-20809_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-20809	ses-1	/cbica/projects/grmpy/data/bids/sub-20809/ses-1/anat/sub-20809_ses-1_rec-defaced_T1w.json	
DELETE	T1w	sub-20809	ses-1	/cbica/projects/grmpy/data/bids/sub-20809/ses-1/anat/sub-20809_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T1w	sub-98871	ses-1	/cbica/projects/grmpy/data/bids/sub-98871/ses-1/anat/sub-98871_ses-1_rec-defaced_T1w.nii.gz	
DELETE	T2w	sub-98871	ses-1	/cbica/projects/grmpy/data/bids/sub-98871/ses-1/anat/sub-98871_ses-1_rec-defaced_T2w.json	
DELETE	T1w	sub-98871	ses-1	/cbica/projects/grmpy/data/bids/sub-98871/ses-1/anat/sub-98871_ses-1_rec-defaced_T1w.json	
DELETE	T2w	sub-98871	ses-1	/cbica/projects/grmpy/data/bids/sub-98871/ses-1/anat/sub-98871_ses-1_rec-defaced_T2w.nii.gz	
DELETE	T2w	sub-94492	ses-1	/cbica/projects/grmpy/data/bids/sub-94492/ses-1/anat/sub-94492_ses-1_rec-defaced_T2w.json	
